text,intent
What are the reviews for the new iPhone?,web_search
What are the expectations for employee conduct during company-sponsored events?,knowledge_query
What are the company's core values and mission statement?,knowledge_query
What is the process for providing feedback or suggestions on company policies and procedures?,knowledge_query
Look up the history of the Eiffel Tower,web_search
"What are the company's policies on diversity, equity, and inclusion in the workplace?",knowledge_query
What are the rules regarding social media usage during work hours?,knowledge_query
Find the nearest parking garage to the city center,web_search
What's your favorite type of cuisine to cook?,general_chat
Email the development team about the new project timeline and deadlines,email_send
What do you like to do to relax on a Sunday afternoon?,general_chat
Email the entire staff about the scheduled maintenance this weekend,email_send
Can you provide information on the company's diversity and inclusion initiatives?,knowledge_query
"I heard the weather is going to be great this weekend, do you have any plans?",general_chat
How was your morning commute?,general_chat
How was your summer vacation?,general_chat
Please set up a meeting about the budget review for the next quarter.,calendar_schedule
Do you have any fun plans for the upcoming weekend?,general_chat
What is the company's policy on data protection and privacy?,knowledge_query
Please arrange a meeting with the customer service team to discuss the customer feedback,calendar_schedule
How many calories are in a slice of pizza?,web_search
I want to send a follow-up email to the customer about their order,email_send
I need to arrange a meeting with the finance team to discuss the budget for the upcoming year.,calendar_schedule
Find the best routes for a road trip from California to New York,web_search
I want to schedule a meeting with the client to finalize the contract details.,calendar_schedule
Schedule a conference call with the international team for tomorrow at 5pm.,calendar_schedule
Email the sales team with the updated product information,email_send
What do you think about the latest movie releases?,general_chat
What's something you're really passionate about outside of work or school?,general_chat
"I feel like we haven't talked in ages, how have you been?",general_chat
We need to set up an interview with the candidate for the open position on Thursday.,calendar_schedule
Email the finance team about the budget and expense reports,email_send
What types of employee discounts or perks are available to us?,knowledge_query
Search for the definition of artificial intelligence,web_search
Schedule a meeting for the project kickoff on the first day of next month.,calendar_schedule
I need to send a follow-up email to James regarding the pending issue.,email_send
How does the company communicate with employees during emergencies or crises?,knowledge_query
Find the reviews for the latest Samsung smartwatch,web_search
"Do you have any pets, I've been thinking of getting one?",general_chat
Can you send an email to our business partner about the contract renewal,email_send
Book a conference call with the remote team for next Tuesday at 1pm.,calendar_schedule
Email the research team about the latest industry trends and insights,email_send
I need to schedule a call with the supplier to discuss the delivery schedule,calendar_schedule
Have you traveled anywhere exciting recently or have any upcoming trips?,general_chat
Please set up a meeting with the sales team to discuss the quarterly targets,calendar_schedule
Can you schedule an interview with the candidate for the open position on Tuesday?,calendar_schedule
What's the best thing that's happened to you this year?,general_chat
How do I access our employee handbook online?,knowledge_query
What's the score of the Yankees game last night?,web_search
"Do you have any pets, I'm thinking of getting one?",general_chat
Search for the reviews of the new Nintendo Switch game,web_search
"What's the best advice you've ever received, and from whom?",general_chat
I need to schedule a meeting with the HR department to discuss employee onboarding.,calendar_schedule
Find the latest sports news on the NFL,web_search
Email the accounting team about the payment and invoice details,email_send
Send an email to the customer service department about the complaint.,email_send
What is the process for providing feedback or suggestions to management?,knowledge_query
Please forward this email to the finance team regarding the invoice,email_send
Let's schedule a meeting with the operations team to discuss the logistics and supply chain.,calendar_schedule
What's the best book you've read recently and why did you like it?,general_chat
Schedule a team meeting for Monday morning at 9am,calendar_schedule
Can you email me the presentation slides for tomorrow's meeting,email_send
Can you show me the directions to the nearest gym from my location?,web_search
Book a meeting with the IT department to resolve the ongoing technical issues.,calendar_schedule
What benefits does the company offer to support work-life balance?,knowledge_query
Can you explain the procedure for reporting a workplace injury?,knowledge_query
Can you explain the company's approach to innovation and staying competitive in the industry?,knowledge_query
What's the best advice you've ever received and from whom?,general_chat
I need to email the customer with the shipping update,email_send
What's the latest news about the technology industry and its trends?,web_search
Send a notification email to the subscribers about the new feature,email_send
What are the ingredients and recipe for chicken parmesan?,web_search
Can you look up the nutrition facts for a Big Mac?,web_search
Are there any employee discounts or perks available for company products or services?,knowledge_query
Can you schedule a meeting with the creative team to brainstorm new ideas?,calendar_schedule
I want to schedule a call with the customer support team to resolve the issue.,calendar_schedule
